resolution,people,tries,time
30x40,2,2,2.867302
30x40,20,2,33.783466
30x40,21,2,36.050111
30x40,22,2,38.909844
30x40,23,2,41.7223
30x40,24,2,44.49151
30x40,25,2,47.367313
30x40,3,2,3.741732
30x40,4,2,4.700288
30x40,5,2,5.676897
30x40,6,2,6.897702
30x40,7,2,8.144373
30x40,8,2,9.495202
30x40,9,2,10.813363
33x44,10,2,18.289374
33x44,2,2,4.15908
33x44,3,2,5.616279
33x44,4,2,7.00376
33x44,5,2,8.704685
33x44,6,2,10.442747
33x44,7,2,12.222544
33x44,8,2,14.240593
33x44,9,2,16.221854
36x48,10,2,25.352097
36x48,2,2,5.74379
36x48,3,2,7.609584
36x48,4,2,9.669424
36x48,5,2,11.935761
36x48,6,2,14.242726
36x48,7,2,16.875691
36x48,8,2,19.799273
36x48,9,2,22.702298
39x52,10,2,34.502052
39x52,2,2,7.811799
39x52,3,2,10.340412
39x52,4,2,13.057397
39x52,5,2,16.26084
39x52,6,2,19.467098
39x52,7,2,22.992606
39x52,8,2,26.682394
39x52,9,2,30.912657
3x4,10,2,1.426574
3x4,11,2,1.748923
3x4,12,2,1.852719
3x4,13,2,1.935334
3x4,14,2,2.183406
3x4,15,2,2.234144
3x4,16,2,2.361884
3x4,17,2,2.466558
3x4,18,2,2.607931
3x4,19,2,2.788872
3x4,2,2,0.325934
3x4,20,2,2.818939
3x4,21,2,3.030927
3x4,22,2,3.192531
3x4,23,2,3.265653
3x4,24,2,3.456641
3x4,25,2,3.542611
3x4,26,2,3.630139
3x4,27,2,3.816113
3x4,28,2,3.895028
3x4,29,2,4.065791
3x4,3,2,0.441593
3x4,30,2,4.196255
3x4,31,2,4.369464
3x4,32,2,4.518827
3x4,33,2,4.685709
3x4,34,2,4.849239
3x4,35,2,4.92755
3x4,36,2,5.069523
3x4,37,2,5.13583
3x4,38,2,5.30245
3x4,39,2,5.3854
3x4,4,2,0.629372
3x4,40,2,5.616712
3x4,5,2,0.736932
3x4,6,2,0.903813
3x4,7,2,1.010053
3x4,8,2,1.150382
3x4,9,2,1.407523
42x56,10,2,46.440759
42x56,2,2,10.704795
42x56,3,2,14.083405
42x56,4,2,17.910343
42x56,5,2,22.046192
42x56,6,2,26.260515
42x56,7,2,31.023515
42x56,8,2,36.403725
42x56,9,2,41.910034
45x60,10,2,61.009989
45x60,2,2,17.793619
45x60,3,2,18.690043
45x60,4,2,23.531314
45x60,5,2,28.980737
45x60,6,2,34.792649
45x60,7,2,41.314458
45x60,8,2,48.001681
45x60,9,2,55.14078
6x8,10,2,1.4534
6x8,11,2,1.579849
6x8,12,2,1.737696
6x8,13,2,1.857913
6x8,14,2,1.971852
6x8,15,2,2.141599
6x8,16,2,2.255968
6x8,17,2,2.415521
6x8,18,2,2.545015
6x8,19,2,2.674592
6x8,2,2,0.306249
6x8,20,2,2.773555
6x8,21,2,2.967896
6x8,22,2,3.077226
6x8,23,2,3.247859
6x8,24,2,3.37594
6x8,25,2,3.521992
6x8,26,2,3.662843
6x8,27,2,3.879916
6x8,28,2,3.995369
6x8,29,2,4.095572
6x8,3,2,0.445411
6x8,30,2,4.27334
6x8,31,2,4.31922
6x8,32,2,4.530349
6x8,33,2,4.698114
6x8,34,2,4.802455
6x8,35,2,4.961402
6x8,36,2,5.090966
6x8,37,2,5.295055
6x8,38,2,5.452733
6x8,39,2,5.496643
6x8,4,2,0.612246
6x8,40,2,5.721499
6x8,5,2,0.74708
6x8,6,2,0.873597
6x8,7,2,1.020146
6x8,8,2,1.191268
6x8,9,2,1.339754
9x12,10,2,1.514594
9x12,11,2,1.610671
9x12,12,2,1.855431
9x12,13,2,1.925251
9x12,14,2,2.108789
9x12,15,2,2.282907
9x12,16,2,2.426887
9x12,17,2,2.562361
9x12,18,2,2.705811
9x12,19,2,2.855723
9x12,2,2,0.321678
9x12,20,2,3.059082
9x12,21,2,3.138376
9x12,22,2,3.368845
9x12,23,2,3.479518
9x12,24,2,3.643286
9x12,25,2,3.823879
9x12,26,2,3.969764
9x12,27,2,4.146265
9x12,28,2,4.340897
9x12,29,2,4.505014
9x12,3,2,0.465638
9x12,30,2,4.657832
9x12,31,2,4.816814
9x12,32,2,4.987173
9x12,33,2,5.201644
9x12,34,2,5.431084
